GRADUATION_YEAR;SCORE_NEM;GRADE_PERCENTILE;SCORE_RANKING;AVERAGE_MATH_LANG;GENDER;HOW_MANY_WORK;HOW_MANY_STUDY;INCOME_PERCENTILE;MOTHER_EDUCATION;FATHER_EDUCATION;PREVIOUS_ADMISSION;SCHOOL_TYPE;SCHOOL_DEPENDENCY;WORK;RURAL
1981;699;2;721;0.0;2;2;1;10;4;4;1;0;1;1;0
2020;743;1;826;322.0;2;1;1;7;5;5;0;0;0;0;0
1989;421;7;421;382.0;2;1;1;2;4;4;1;0;0;0;0
1981;631;4;634;651.0;1;2;1;8;11;11;1;0;1;1;0
2020;531;2;541;334.0;2;1;1;2;5;7;0;0;0;0;1
1983;375;10;375;570.5;1;1;1;6;5;6;1;0;1;1;0
1991;456;8;456;0.0;1;2;1;3;5;5;0;0;0;1;0
2020;743;1;801;449.0;2;1;2;4;7;4;0;0;1;1;0
2020;796;1;850;337.0;2;1;1;1;7;7;0;0;0;0;0
2020;700;1;750;292.0;2;3;1;6;7;4;0;0;1;1;0
2020;807;1;850;0.0;1;1;1;3;5;6;0;0;0;1;0
1983;559;2;581;0.0;1;1;1;2;4;4;1;0;0;0;1
2020;817;1;850;479.0;2;1;1;2;4;6;0;0;1;0;1
2020;492;4;492;356.5;2;1;1;9;4;4;0;0;1;1;1
2020;679;1;780;0.0;2;1;1;6;5;5;0;0;0;0;1
2020;531;1;571;0.0;1;1;1;1;5;5;0;0;0;0;1
1993;624;4;628;689.0;1;1;1;7;4;6;1;0;1;1;1
2020;594;3;613;0.0;2;1;2;3;5;7;0;0;0;0;0
2020;464;4;494;305.0;1;1;2;9;4;4;0;0;1;1;1
1986;613;4;610;0.0;1;2;1;9;6;6;1;0;1;0;1
2020;521;1;563;0.0;1;1;1;1;5;5;0;0;0;0;1
1987;534;10;534;0.0;2;3;4;10;6;6;1;0;1;1;1
2020;679;1;802;0.0;2;4;1;8;1;1;0;0;0;0;1
1985;646;1;661;0.0;2;1;1;2;6;6;1;0;0;0;1
2020;481;6;490;311.0;2;1;1;1;9;9;0;1;0;0;1
2020;743;1;850;429.0;2;1;1;3;7;1;0;0;0;1;0
2020;696;1;735;469.5;2;1;1;6;10;7;0;1;1;0;0
2020;487;6;487;359.0;1;1;1;1;7;7;0;0;1;0;1
2020;439;7;522;384.0;2;1;1;2;10;10;0;1;1;0;0
2020;269;6;269;200.0;1;1;1;1;5;5;0;0;0;0;1
2020;722;1;749;431.5;2;1;1;3;7;11;0;0;0;0;0
2020;400;9;400;0.0;1;1;1;1;7;7;0;1;0;0;0
2020;521;5;521;0.0;1;2;1;5;7;7;0;1;0;0;0
1985;403;8;403;0.0;1;1;1;1;10;11;1;0;0;1;1
2020;403;10;403;290.5;1;1;1;2;5;7;0;0;1;0;0
2020;728;1;850;452.5;1;1;1;1;6;6;0;1;0;1;0
2020;407;4;407;392.0;1;1;1;1;5;5;0;0;0;0;1
2020;604;1;628;397.5;2;1;3;2;9;9;0;1;0;0;1
1991;566;4;567;0.0;2;1;1;10;11;11;1;0;1;1;1
2020;510;5;510;0.0;1;2;2;3;5;7;0;1;0;0;0
2020;544;5;544;0.0;1;1;1;1;5;5;0;0;0;0;0
1997;555;4;555;738.0;1;1;1;1;7;7;0;0;0;0;0
1984;824;1;850;0.0;2;2;3;8;9;9;1;0;1;1;1
1996;699;1;752;0.0;2;1;1;7;11;11;1;0;1;0;0
1984;663;1;756;543.0;2;1;2;1;6;6;1;0;0;0;1
2020;700;2;739;308.5;2;1;1;1;4;4;0;1;0;0;0
2020;653;2;720;463.5;1;1;1;1;7;7;0;1;0;0;0
2020;561;2;597;327.0;1;1;1;1;7;7;0;1;1;0;0
1988;559;4;562;578.5;1;1;1;3;6;5;0;0;0;0;1
1983;587;2;598;612.5;2;1;1;3;4;6;1;0;0;0;0
2020;499;6;499;0.0;2;1;1;1;7;7;0;0;0;0;1
1985;695;3;706;0.0;1;1;1;7;6;6;1;0;1;0;0
1982;678;2;732;0.0;1;1;1;8;4;4;1;0;1;1;0
1985;699;1;748;0.0;2;2;2;10;5;6;1;0;0;1;0
2019;705;1;767;0.0;1;1;1;1;5;5;0;0;1;0;0
1999;598;2;614;590.5;1;1;1;8;7;5;1;0;1;1;0
2020;637;2;782;0.0;1;1;1;1;7;7;0;0;0;0;1
1984;685;1;780;0.0;2;1;1;2;4;1;0;1;0;0;1
2020;658;1;762;0.0;2;1;1;2;7;7;0;0;0;1;0
2020;637;1;707;308.0;2;1;1;2;4;6;0;0;1;0;0
2020;743;1;807;0.0;1;1;1;1;7;7;0;0;1;0;0
1984;646;2;669;0.0;1;1;1;7;4;8;1;0;0;1;1
2020;483;4;483;472.0;1;1;1;1;4;1;0;0;1;0;0
1989;555;1;603;361.0;2;1;1;4;7;7;1;0;0;0;0
2018;556;3;576;513.0;2;1;1;8;6;6;1;0;0;0;0
2020;696;1;775;0.0;1;1;1;2;7;7;0;1;1;0;1
1982;479;8;479;442.0;2;1;1;6;7;11;1;0;0;1;0
2020;492;5;498;398.5;2;1;2;3;6;6;0;0;0;0;0
1983;689;3;694;639.0;2;1;1;2;6;8;1;0;0;0;0
1985;538;5;538;610.0;1;2;2;9;6;6;1;0;1;1;1
2020;384;6;384;0.0;2;2;1;5;7;7;0;0;1;0;1
1985;570;5;570;587.0;1;2;2;10;5;5;1;0;1;1;0
2020;437;8;438;347.5;1;1;1;1;7;7;0;0;1;0;1
2020;637;2;782;318.0;1;1;1;1;7;7;0;0;0;0;1
1982;444;8;444;0.0;2;1;2;3;5;4;0;0;0;1;0
2020;497;3;497;382.5;1;1;1;1;7;7;0;1;0;0;1
2020;437;7;437;369.0;1;1;1;2;6;6;0;0;1;1;0
1984;646;1;699;709.0;1;2;1;5;5;5;1;0;0;1;0
2020;521;4;523;348.5;1;1;1;1;7;7;0;0;1;0;0
2020;669;1;699;339.5;1;2;2;6;6;6;0;0;1;1;1
1995;535;4;558;531.5;1;1;1;8;9;6;1;1;1;1;0
2020;510;4;510;0.0;2;1;2;2;7;7;0;0;1;0;1
1984;400;9;400;492.5;1;1;2;5;7;7;0;1;1;1;0
2020;722;1;753;380.0;2;1;1;7;5;5;0;0;1;0;0
2020;594;5;642;0.0;1;1;1;2;5;5;0;0;0;0;1
1982;451;10;455;606.0;1;1;1;4;10;10;1;0;1;0;1
1991;646;4;648;0.0;1;2;1;10;11;12;1;0;1;1;1
1984;538;3;529;546.5;1;2;1;4;6;6;1;0;1;1;0
2020;764;1;844;324.5;2;1;1;1;4;4;0;0;0;0;0
2020;653;1;823;0.0;1;1;1;1;7;7;0;1;1;0;0
2020;584;1;634;429.5;2;1;1;4;6;3;0;0;1;1;0
2020;453;2;453;400.5;1;1;1;1;5;5;0;0;0;0;1
2020;497;8;664;370.0;2;1;1;2;7;7;0;1;1;0;1
2020;474;2;475;316.0;1;1;1;1;5;5;0;1;0;0;1
2020;510;7;510;407.0;1;1;1;1;7;7;0;0;0;0;1
2020;732;1;839;0.0;2;1;2;4;1;4;0;0;1;1;1
2004;430;7;440;379.5;1;1;1;8;1;2;0;0;0;0;0
2020;817;1;850;0.0;2;1;1;7;5;7;0;0;0;0;1
2020;464;4;464;0.0;2;1;1;2;7;7;0;0;0;0;1
1995;717;1;759;0.0;2;2;1;10;10;11;1;0;1;1;1
2020;743;2;773;238.5;2;1;1;8;4;6;0;0;0;1;0
2020;647;1;690;0.0;2;1;1;7;1;4;0;0;0;1;1
1997;738;1;756;0.0;2;2;1;10;6;11;1;0;1;1;1
2020;796;1;850;373.5;2;1;1;4;5;5;0;0;1;1;1
2020;700;1;766;376.0;2;1;1;4;5;5;0;0;1;1;1
1988;380;10;393;364.5;1;2;2;8;4;6;0;0;0;1;0
1983;695;5;695;0.0;2;2;2;9;6;11;1;0;1;1;1
1986;559;9;559;482.0;2;1;4;6;6;11;1;0;1;1;1
1983;624;1;662;0.0;2;1;3;7;6;6;0;0;0;0;0
1994;439;8;448;0.0;1;1;2;7;7;12;1;1;1;1;0
2020;732;1;850;0.0;2;1;2;6;5;5;0;1;0;0;1
1990;426;10;435;600.0;1;2;2;6;8;11;1;0;0;1;1
1991;613;5;610;551.0;2;1;1;9;11;8;1;0;1;0;1
2020;679;2;731;0.0;1;1;1;1;7;7;0;0;0;0;1
1984;449;6;449;545.5;1;1;1;1;4;6;1;0;0;0;0
1988;430;4;430;0.0;1;1;1;8;11;10;1;0;0;1;0
2006;423;7;423;358.0;2;1;1;4;6;6;0;0;0;1;0
2020;647;3;661;420.5;2;1;1;2;5;5;0;0;0;0;0
2020;711;1;780;401.5;2;1;3;2;4;4;0;0;1;1;1
2020;764;1;797;0.0;2;2;1;8;1;1;0;0;0;1;0
2020;497;4;497;442.0;1;1;1;4;2;2;0;1;0;0;1
2020;807;1;850;357.0;2;1;2;1;7;7;0;0;0;0;0
2020;616;1;690;0.0;2;1;1;3;1;1;0;0;0;0;1
1983;364;10;364;0.0;1;1;1;8;7;7;0;0;0;0;0
2020;476;2;490;329.5;1;1;1;1;5;5;0;0;0;0;1
2020;754;1;850;316.5;2;1;1;1;4;4;0;0;1;0;1
1984;570;6;570;548.0;2;1;1;8;4;4;0;0;0;1;1
2020;521;4;521;211.0;2;1;1;1;5;5;0;0;0;0;1
2019;647;1;681;0.0;2;1;2;5;5;5;1;0;0;0;0
2020;605;4;619;367.5;1;1;1;1;7;7;0;0;0;0;0
2020;476;2;476;339.5;1;1;1;1;7;7;0;0;1;0;1
2014;626;1;657;390.0;2;1;1;2;6;7;0;0;0;0;1
1983;732;1;770;0.0;2;2;1;9;6;6;1;0;1;0;1
2020;807;1;840;339.5;2;1;1;5;7;7;0;0;0;0;0
2020;464;2;470;334.0;1;1;1;1;5;5;0;0;0;0;1
2019;517;4;532;423.5;2;1;1;3;6;6;0;0;1;0;0
2020;577;3;600;0.0;2;1;1;9;1;1;0;0;1;1;1
1990;359;10;376;626.5;1;1;1;3;7;4;1;1;1;1;1
1983;389;8;405;487.5;1;1;1;9;6;4;1;1;1;0;1
2020;573;3;587;350.5;2;1;1;2;5;1;0;0;1;1;1
